"id","op_id","sortid","名称","効果","付加係数","要求レベル上昇","ネックレス","ヘルメット","冠","イヤリング","マント","ベルト","グローブ","投擲機","爪","ブレスレット","共用鎧","専用鎧","ブーツ","リング","片手剣","両手剣","槍","弓","杖","牙","メイス","翼","笛","短剣","格闘武器","スリング","ワンド","鞭","鎌","爪武器","本","双剣","ほうき","ダークコア","双拳銃","錬金石","チェインアンカー","盾","鞘","矢","腕刺青","ブローチ","獣毛装飾","十字架","肩刺青","マスターキー","保護帯","スリング弾丸","星群","契約霊","ウォーペイント","コサージュ","魔弾石","触媒石","ラム酒","宝石"
"0","0","101","[力Lv1]","力 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"1","0","102","[力Lv2]","力 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"2","0","103","[力Lv3]","力 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"3","0","104","[力Lv4]","力 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"4","0","105","[力Lv5]","力 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"5","0","106","[力Lv6]","力 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"6","0","107","[力Lv7]","力 [16~20] 増加","95","44","●","●","","●","●","●","●","●","●","","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"7","0","108","[力Lv8]","力 [21~30] 増加","85","60","","●","","","","","●","","●","","","●","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"8","0","109","[力Lv9]","力 [31~50] 増加","70","79","","","","","","","●","","●","","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"9","0","110","[力Lv10]","力 [51~100] 増加","50","100","","","","","","","●","","●","","","","","","●","●","●","","","●","●","","","●","●","","","","●","●","","","","●","","●","●","","","","","","","","","","","","","","","","","","",""
"492","0","111","[力Lv1 DX]","力 [101~150] 増加","25","250","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"573","0","112","[力Lv1 ULT]","力 [151~200] 増加","25","350","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"906","0","30061","[ジェーソン]","力 250 増加","100","0","","","","","","","●","","","","","","","","●","","●","","","●","●","","","","●","","","","","●","","","","●","","●","","","","","","","","","","","","","","","","","","","",""
"10","1","201","[敏捷Lv1]","敏捷 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"11","1","202","[敏捷Lv2]","敏捷 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"12","1","203","[敏捷Lv3]","敏捷 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"13","1","204","[敏捷Lv4]","敏捷 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"14","1","205","[敏捷Lv5]","敏捷 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"15","1","206","[敏捷Lv6]","敏捷 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"16","1","207","[敏捷Lv7]","敏捷 [16~20] 増加","95","44","●","●","","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"17","1","208","[敏捷Lv8]","敏捷 [21~30] 増加","85","60","","●","","","","","●","●","●","●","","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"18","1","209","[敏捷Lv9]","敏捷 [31~50] 増加","70","79","","","","","","","","●","●","●","","","","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","","",""
"19","1","210","[敏捷Lv10]","敏捷 [51~100] 増加","50","100","","","","","","","","","●","●","","","","","","●","●","●","","","","","","●","●","●","","","●","","","","","","●","","●","","","","","","","","","","","","","","","","","","",""
"493","1","211","[敏捷Lv1 DX]","敏捷 [101~150] 増加","25","250","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"574","1","212","[敏捷Lv1 ULT]","敏捷 [151~200] 増加","25","350","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"907","1","30062","[セリー]","敏捷 250 増加","100","0","","","","","","","","","","●","","","","","","","●","●","","","","","","●","●","●","","","","","","","","","●","","","","","","","","","","","","","","","","","","","","",""
"20","2","301","[健康Lv1]","健康 1 増加","100","1","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"21","2","302","[健康Lv2]","健康 [2~3] 増加","100","3","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"22","2","303","[健康Lv3]","健康 [4~5] 増加","100","7","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"23","2","304","[健康Lv4]","健康 [6~7] 増加","100","13","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","","●"
"24","2","305","[健康Lv5]","健康 [8~10] 増加","100","21","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"25","2","306","[健康Lv6]","健康 [11~15] 増加","100","31","●","●","●","●","●","●","●","●","●","●","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","●","●","●","●","●","","","","●","●","●","●","","●","",""
"26","2","307","[健康Lv7]","健康 [16~20] 増加","95","44","●","●","","","●","●","●","●","●","","●","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","●","●","","●","●","","","","●","","","●","","●","",""
"27","2","308","[健康Lv8]","健康 [21~30] 増加","85","60","","●","","","","●","●","","●","","","●","●","","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","●","","","","","","","","","","","","","","","","","●","",""
