"id","name","type","begin_year","begin_month","begin_day","end_year","end_month","end_day","str_unknown1","unknown1","str_unknown2","unknown2_0","unknown2_1","unknown2_2","unknown2_3","str_progress","unknown2_69","unknown2_70","unknown2_71","unknown2_72","has_extra","unknown2_74","unknown2_75","unknown2_76","unknown2_77","unknown2_78","unknown2_79","text1","text2","text3","text4","text5","text6","extra_0","extra_1","extra_2","extra_3","extra_4","extra_5","extra_6","extra_7","extra_8","extra_9","extra_10","extra_11","extra_12","extra_13","extra_14","extra_15"
"0","再配分巻物贈り物","2","0","0","0","0","0","0","","0","","0","0","0","0","","511","35","0","0","0","0","0","0","0","0","0","イベントクエスト。期間をよく設定してすること","","","","","","","","","","","","","","","","","","","","",""
"1","クリスマスイベント","2","2005","12","24","2005","12","31","<c:GREEN>イベンター<n>","0","イベンター","1","9999","1","9999","","511","47","0","0","0","0","0","0","0","0","0","field 171;
npc 171 'イベンター';
_codeEnd
砂漠村リンケンにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","field 214;
npc 214 'イベンター';
_codeEnd
魔法都市スマグにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","field 310;
npc 310 'イベンター';
_codeEnd
大きな町 バリアートにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","field 340;
npc 340 'イベンター';
_codeEnd
ロマ村 ビスルにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","field 347;
npc 347 'イベンター';
_codeEnd
伐木町ブレンティルにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","field 374;
npc 374 'イベンター';
_codeEnd
小都市ビッグアイにいる<c:GREEN>イベンター<n>を訪ねよう。イベンターは街にガイドとして登録されている。

<c:YELLOW>※‘クリスマスイベント’は１回のみ進行可能です。<n>","","","","","","","","","","","","","","","",""
"2","ケイルンの助太刀","2","2006","4","19","2006","5","3","","0","ケイルン","0","0","0","0","","511","39","0","0","0","0","0","0","0","0","0","npc 0 'ケイルン';
_codeEnd
ケイルンが冒険を始めたあなたに何か言いたいことがあるのか、じっと見つめている。","npc 0 'ケイルン';
_codeEnd
ブルンネンシュティグのケイルンが75レベルを達成した冒険家に装備を貸してくれると言う。75レベルを達成してケイルンの所に戻ろう。","","","","","","","","","","","","","","","","","","","",""
"3","銀行顧客登録","0","0","0","0","0","0","0","ブルンネンシュティグ銀行の<c:GREEN>クレナ<n>","2","クレナ","0","0","0","0","<c:YELLOW>%d<n>/5 個","511","47","0","1","0","0","0","0","0","0","0","エルベルグ山脈 峠の鉱山町ハノブ南にある橋にいる<c:LTGREEN>エルラン<n>にクレナから預かった、重い小包を渡してあげよう。","ブルンネンシュティグの<c:LTGREEN>クレナ<n>に <c:LTGREEN>エルラン<n>から預かった確認証を届けよう。","バヘル大河/北、東バヘル大河の交差地点付近のどこかで <c:LTYELLOW>ぴくっこ<n>を捕っている<c:LTGREEN>シンク<n>の行方を探せ。","ブルンネンシュティグの<c:LTGREEN>クレナ<n>に<c:LTGREEN>シンク<n>から預かった手紙を届けよう。","","","","","","","","","","","","","","","","","",""
"4","1. ロングッシュの風聞収集","0","0","0","0","0","0","0","","3","ロングッシュ","1","9999","1","9999","","511","75","1","255","0","0","0","0","0","0","0","field 0;
npc 0 'ロングッシュ';
_codeEnd
うわさによると、<c:GREEN>ロングッシュ<n>と言う国会議員の秘書官が‘<c:LTRED>RED STONEの風聞<n>を集めている最中’だと言う。ブルンネンシュティグの国会議事堂の付近にいる<c:GREEN>ロングッシュ<n>を探して話しかけてみよう。","field 0;
npc 0 'おじさん';
npc 0 'おばさん';
npc 0 '貴族';
npc 0 '青年';
npc 0 'お嬢さん';
npc 0 '貴族婦人';
npc 0 'ちびっこ';
npc 0 'おじいさん';
value 'RED STONEの風聞収集 %d/6 個';
_codeEnd
ブルンネンシュティグの国会議員ブロームの秘書である<c:GREEN>ロングッシュ<n>が‘<c:LTRED>RED STONEの風聞<n>’を集めていると、風聞収集を依頼した。ブルンネンシュティグの住民達に聞いて、RED STONEに関する風聞の中から<c:YELLOW>6個<n>だけを収集しよう。","field 0;
npc 0 'ロングッシュ';
_codeEnd
‘<c:LTRED>RED STONEに関する風聞<n>’を収集した。今から<c:GREEN>ロングッシュ<n>に会って収集した風聞について報告しよう。","","","","","","","","","","","","","","","","","","",""
"5","2. 地下水路への探索","0","0","0","0","0","0","0","","3","ロングッシュ","3","9999","3","9999","RED STONEの手がかり <c:YELLOW>%d<n>/3 個","511","75","1","255","0","0","0","0","0","0","0","field 152;
monster 152 'コボルト'
monster 152 'モルモット'
monster 152 'レッドアイ魔法師'
monster 152 'バガボンド'
_codeEnd
ブルンネンシュティグの国会議員ブロームの秘書である<c:GREEN>ロングッシュ<n>が、今度はブルンネンシュティグの忘れられた水路にある旧レッドアイ秘密研究所で、RED STONEと関係のある手がかりを探して欲しいと言ってきた。手がかりはモンスターの身体や研究所周辺の物を調べてみると探し出すことができるはずだ。","field 0;
npc 0 'ロングッシュ';
_codeEnd
‘<c:LTRED>RED STONEの手がかり<n>’を全て探し出した。ブルンネンシュティグの国会議員ブロームの秘書である<c:GREEN>ロングッシュ<n>に会って報告しよう。","","","","","","","","","","","","","","","","","","","",""
"6","3. 嵐の前夜","0","0","0","0","0","0","0","","3","ロングッシュ","3","9999","3","9999","","511","75","1","0","0","0","0","0","0","0","0","field 377;
npc 377 'ブローム';
_codeEnd
一応、ブルンネンシュティグの西方にある旧レッドアイ研究所で生き残れるほどの<c:YELLOW>20レベル<n>くらいにレベルを上げよう。その次に、ブルンネンシュティグ国会議事堂内にいる<c:GREEN>ブローム<n>を訪ねると何かあるようだ。","","","","","","","","","","","","","","","","","","","","",""
"7","1. 世捨て人-ラピ･ド･セイジ","0","0","0","0","0","0","0","","3","ブローム","20","9999","20","9999","RED STONEの風聞の真相 <c:YELLOW>%d<n>/3 個","511","75","2","0","0","0","0","0","0","0","0","field 3;
npc 3 'ラピ･ド･セイジ';
_codeEnd
ブルンネンシュティグの国会議員<c:GREEN>ブローム<n>が今度は直接‘RED STONEの風聞’について真相の調査を依頼した。ブルンネンシュティグ西方の、中央プラトン街道にある旧レッドアイ研究所にいる世捨て人<c:GREEN>ラピ･ド･セイジ<n>に会って‘<c:LTRED>RED STONEの風聞の真相<n>’を調査しよう。ラピ･ド･セイジは旧レッドアイ研究所B1のすみにいる。","field 377;
npc 377 'ブローム';
_codeEnd
RED STONEに関する風聞3種の真相が明らかになった。明かされた風聞の内容をブルンネンシュティグの国会議員<c:GREEN>ブローム<n>に会って報告しよう。","","","","","","","","","","","","","","","","","","","",""
"8","2. 世捨て人の真実","0","0","0","0","0","0","0","","3","ブローム","20","9999","20","9999","RED STONEの風聞の真相 <c:YELLOW>%d<n>/3 個","511","75","2","255","0","0","0","0","0","0","0","field 3;
npc 3 'ラピ･ド･セイジ';
_codeEnd
ブルンネンシュティグの国会議員<c:GREEN>ブローム<n>がまったく同じ内容の依頼をもう一度してきた。旧レッドアイ研究所の内、ブルンネンシュティグ西方の中央プラトン街道にある旧レッドアイ研究所に行き、世捨て人<c:GREEN>ラピ･ド･セイジ<n>に会って‘<c:LTRED>RED STONE風聞の真相の調査<n>’をもう一度しよう。ラピ･ド･セイジは旧レッドアイ研究所B1のすみにいる。","field 377;
npc 377 'ブローム';
_codeEnd
RED STONEに関する風聞3種の真相が明らかになった。明かされた風聞の内容をブルンネンシュティグの国会議員<c:GREEN>ブローム<n>に会って報告しよう。","","","","","","","","","","","","","","","","","","","",""
"9","3. コインの裏","0","0","0","0","0","0","0","","3","ケブティス","20","9999","20","9999","","511","75","2","0","0","0","0","0","0","0","0","field 74;
npc 74 'ケブティス';
_codeEnd
ブルンネンシュティグの<c:GREEN>ブローム<n>はブリッジヘッド・シーフギルドに関わるなと言うが、どうも怪しい。一回調査してみる必要があるようだ。しかし、シーフギルドはちょっと荒っぽい所だから、もう少し強くなってから訪ねた方が安全そうだ。安全のため<c:YELLOW>35レベル以降<n>になったら、ブリッジヘッド・シーフギルドの<c:GREEN>ケブティス<n>に会おう。","","","","","","","","","","","","","","","","","","","","",""
